url	status	replacement	replacement_source	comment
http://forums.bethsoft.com/topic/1167004-relz-mlox-a-tool-for-analyzing-and-sorting-your-load-order/page__view__findpost__p__20955404	DEFUNCT_HOSTNAME	https://web.archive.org/web/20200219135720/http://forums.bethsoft.com/topic/1167004-relz-mlox-a-tool-for-analyzing-and-sorting-your-load-order/page__view__findpost__p__20955404	REQUEST	Redirects to bethesda.net: the forums were taken offline in 2020.
http://forums.bethsoft.com/topic/1243048-error-in-antares-big-mod/?p=18872973	DEFUNCT_HOSTNAME	https://web.archive.org/web/20200226090309/https://forums.bethsoft.com/topic/1243048-error-in-antares-big-mod/?p=18872973	REQUEST	Redirects to bethesda.net: the forums were taken offline in 2020.
http://forums.bethsoft.com/topic/1305729-mod-recommendations-for-new-players/page-3#entry23136256	DEFUNCT_HOSTNAME	https://web.archive.org/web/20200213033826/http://forums.bethsoft.com/topic/1305729-mod-recommendations-for-new-players/page-3	REQUEST	Redirects to bethesda.net: the forums were taken offline in 2020.
http://forums.bethsoft.com/topic/1379566-relz-tamriel-rebuilt-sacred-east-10/page__view__findpost__p__20899639	DEFUNCT_HOSTNAME	https://web.archive.org/web/20200217003248/https://forums.bethsoft.com/topic/1379566-relz-tamriel-rebuilt-sacred-east-10/page__view__findpost__p__20899639	REQUEST	Redirects to bethesda.net: the forums were taken offline in 2020.
http://forums.bethsoft.com/topic/1379566-relz-tamriel-rebuilt-sacred-east-10/page__view__findpost__p__20903519	DEFUNCT_HOSTNAME	https://web.archive.org/web/20200216163038/https://forums.bethsoft.com/topic/1379566-relz-tamriel-rebuilt-sacred-east-10/page__view__findpost__p__20903519	REQUEST	Redirects to bethesda.net: the forums were taken offline in 2020.
http://forums.bethsoft.com/topic/1398805-relz-mlox-a-tool-for-analyzing-and-sorting-your-load-order/page__view__findpost__p__21680865	DEFUNCT_HOSTNAME	https://web.archive.org/web/20200216224901/http://forums.bethsoft.com/topic/1398805-relz-mlox-a-tool-for-analyzing-and-sorting-your-load-order/page__view__findpost__p__21680865	REQUEST	Redirects to bethesda.net: the forums were taken offline in 2020.
http://forums.bethsoft.com/topic/1464045-unofficial-morrowind-patch-thread-2/?p=22869629	DEFUNCT_HOSTNAME	https://web.archive.org/web/20200216225243/http://forums.bethsoft.com/topic/1464045-unofficial-morrowind-patch-thread-2/?p=22869629	REQUEST	Redirects to bethesda.net: the forums were taken offline in 2020.
http://forums.bethsoft.com/topic/1466182-is-anybody-having-luck-running-this-mod-obqsb/	DEFUNCT_HOSTNAME	https://web.archive.org/web/20200221053007/http://forums.bethsoft.com/topic/1466182-is-anybody-having-luck-running-this-mod-obqsb/	REQUEST	Redirects to bethesda.net: the forums were taken offline in 2020.
http://forums.bethsoft.com/topic/1484931-conflict-between-gcd-and-mcp-21/?p=23273977	DEFUNCT_HOSTNAME	https://web.archive.org/web/20200218161425/http://forums.bethsoft.com/topic/1484931-conflict-between-gcd-and-mcp-21/?p=23273977	REQUEST	Redirects to bethesda.net: the forums were taken offline in 2020.
http://forums.bethsoft.com/topic/1503413-mpp-and-umpp/?p=23684859	DEFUNCT_HOSTNAME	https://web.archive.org/web/20200216180614/http://forums.bethsoft.com/topic/1503413-mpp-and-umpp/?p=23684859	REQUEST	Redirects to bethesda.net: the forums were taken offline in 2020.
